,index,origin,"country Code, national number",E164 format
10600,90265,+63 870 581 6440,Country Code: 63 National Number: 8705816440,+638705816440
10601,90266,+49 583 429 6862,Country Code: 49 National Number: 5834296862,+495834296862
10602,90267,+351 689 773 3123,Country Code: 351 National Number: 6897733123,+3516897733123
10603,90268,+7 434 814 3224,Country Code: 7 National Number: 4348143224,+74348143224
10604,90269,+1 769 451 1025,Country Code: 1 National Number: 7694511025,+17694511025
10605,90270,+856 382 825 1456,Country Code: 856 National Number: 3828251456,+8563828251456
10606,90271,+55 853 211 2431,Country Code: 55 National Number: 8532112431,+558532112431
10607,90272,+81 225 683 8687,Country Code: 81 National Number: 2256838687,+812256838687
10608,90273,+81 479 683 7199,Country Code: 81 National Number: 4796837199,+814796837199
10609,90274,+216 598 296 2270,Country Code: 216 National Number: 5982962270,+2165982962270
10610,90275,+33 199 811 9211,Country Code: 33 National Number: 1998119211,+331998119211
10611,90276,+62 481 308 6818,Country Code: 62 National Number: 4813086818,+624813086818
10612,90277,+30 388 816 6174,Country Code: 30 National Number: 3888166174,+303888166174
10613,90279,+33 203 259 4761,Country Code: 33 National Number: 2032594761,+332032594761
10614,90280,+86 530 359 3762,Country Code: 86 National Number: 5303593762,+865303593762
10615,90281,+55 674 851 6460,Country Code: 55 National Number: 6748516460,+556748516460
10616,90282,+48 999 140 5037,Country Code: 48 National Number: 9991405037,+489991405037
10617,90283,+7 751 569 1518,Country Code: 7 National Number: 7515691518,+77515691518
10618,90284,+86 407 399 3467,Country Code: 86 National Number: 4073993467,+864073993467
10619,90285,+86 244 138 1305,Country Code: 86 National Number: 2441381305,+862441381305
10620,90286,+46 264 700 1923,Country Code: 46 National Number: 2647001923,+462647001923
10621,90287,+33 122 592 4745,Country Code: 33 National Number: 1225924745,+331225924745
10622,90288,+389 339 840 7077,Country Code: 389 National Number: 3398407077,+3893398407077
10623,90289,+86 752 132 9305,Country Code: 86 National Number: 7521329305,+867521329305
10624,90290,+7 886 918 6635,Country Code: 7 National Number: 8869186635,+78869186635
10625,90291,+51 324 424 4855,Country Code: 51 National Number: 3244244855,+513244244855
10626,90292,+234 291 451 1096,Country Code: 234 National Number: 2914511096,+2342914511096
10627,90293,+86 856 937 8229,Country Code: 86 National Number: 8569378229,+868569378229
10628,90294,+356 296 968 2753,Country Code: 356 National Number: 2969682753,+3562969682753
10629,90295,+380 291 717 3858,Country Code: 380 National Number: 2917173858,+3802917173858
10630,90296,+1 145 760 9431,Country Code: 1 National Number: 1457609431,+11457609431
10631,90297,+598 920 659 9467,Country Code: 598 National Number: 9206599467,+5989206599467
10632,90298,+996 373 448 9337,Country Code: 996 National Number: 3734489337,+9963734489337
10633,90299,+86 617 603 6637,Country Code: 86 National Number: 6176036637,+866176036637
10634,90300,+86 238 457 6081,Country Code: 86 National Number: 2384576081,+862384576081
10635,90301,+63 448 660 1229,Country Code: 63 National Number: 4486601229,+634486601229
10636,90302,+380 664 911 4139,Country Code: 380 National Number: 6649114139,+3806649114139
10637,90303,+51 237 712 5156,Country Code: 51 National Number: 2377125156,+512377125156
10638,90304,+62 308 247 8394,Country Code: 62 National Number: 3082478394,+623082478394
10639,90305,+963 646 387 5823,Country Code: 963 National Number: 6463875823,+9636463875823
10640,90306,+81 304 712 8473,Country Code: 81 National Number: 3047128473,+813047128473
10641,90307,+86 855 686 7905,Country Code: 86 National Number: 8556867905,+868556867905
10642,90308,+30 174 641 2162,Country Code: 30 National Number: 1746412162,+301746412162
10643,90309,+7 907 517 6346,Country Code: 7 National Number: 9075176346,+79075176346
10644,90310,+46 827 114 9395,Country Code: 46 National Number: 8271149395,+468271149395
10645,90311,+48 478 106 4563,Country Code: 48 National Number: 4781064563,+484781064563
10646,90312,+351 526 541 1742,Country Code: 351 National Number: 5265411742,+3515265411742
10647,90313,+7 327 636 9148,Country Code: 7 National Number: 3276369148,+73276369148
10648,90314,+33 878 341 4238,Country Code: 33 National Number: 8783414238,+338783414238
10649,90315,+86 864 532 9459,Country Code: 86 National Number: 8645329459,+868645329459
10650,90316,+86 347 266 5847,Country Code: 86 National Number: 3472665847,+863472665847
10651,90317,+60 831 798 0506,Country Code: 60 National Number: 8317980506,+608317980506
10652,90318,+86 118 914 4384,Country Code: 86 National Number: 1189144384,+861189144384
10653,90319,+86 768 534 4601,Country Code: 86 National Number: 7685344601,+867685344601
10654,90320,+976 486 450 6273,Country Code: 976 National Number: 4864506273,+9764864506273
10655,90321,+7 629 229 2462,Country Code: 7 National Number: 6292292462,+76292292462
10656,90322,+855 873 854 7270,Country Code: 855 National Number: 8738547270,+8558738547270
10657,90323,+221 951 221 4299,Country Code: 221 National Number: 9512214299,+2219512214299
10658,90324,+86 422 862 8344,Country Code: 86 National Number: 4228628344,+864228628344
10659,90325,+86 687 841 3069,Country Code: 86 National Number: 6878413069,+866878413069
10660,90326,+48 395 945 0415,Country Code: 48 National Number: 3959450415,+483959450415
10661,90328,+62 180 980 9102,Country Code: 62 National Number: 1809809102,+621809809102
10662,90329,+27 961 308 6707,Country Code: 27 National Number: 9613086707,+279613086707
10663,90330,+86 704 504 6077,Country Code: 86 National Number: 7045046077,+867045046077
10664,90331,+381 255 818 0450,Country Code: 381 National Number: 2558180450,+3812558180450
10665,90332,+504 120 482 3613,Country Code: 504 National Number: 1204823613,+5041204823613
10666,90333,+387 671 411 8793,Country Code: 387 National Number: 6714118793,+3876714118793
10667,90334,+93 714 787 6044,Country Code: 93 National Number: 7147876044,+937147876044
10668,90335,+86 582 538 4369,Country Code: 86 National Number: 5825384369,+865825384369
10669,90336,+86 275 893 4841,Country Code: 86 National Number: 2758934841,+862758934841
10670,90337,+7 329 512 0363,Country Code: 7 National Number: 3295120363,+73295120363
10671,90338,+374 624 552 6340,Country Code: 374 National Number: 6245526340,+3746245526340
10672,90339,+48 666 441 6965,Country Code: 48 National Number: 6664416965,+486664416965
10673,90340,+594 303 113 0920,Country Code: 594 National Number: 3031130920,+5943031130920
10674,90341,+86 177 721 7074,Country Code: 86 National Number: 1777217074,+861777217074
10675,90342,+46 851 752 2463,Country Code: 46 National Number: 8517522463,+468517522463
10676,90343,+86 699 517 7622,Country Code: 86 National Number: 6995177622,+866995177622
10677,90344,+1 202 183 4246,Country Code: 1 National Number: 2021834246,+12021834246
10678,90345,+86 460 973 8506,Country Code: 86 National Number: 4609738506,+864609738506
10679,90346,+62 769 117 6506,Country Code: 62 National Number: 7691176506,+627691176506
10680,90347,+62 518 111 6861,Country Code: 62 National Number: 5181116861,+625181116861
10681,90349,+269 228 165 1541,Country Code: 269 National Number: 2281651541,+2692281651541
10682,90350,+63 926 680 8415,Country Code: 63 National Number: 9266808415,+639266808415
10683,90351,+7 925 207 0499,Country Code: 7 National Number: 9252070499,+79252070499
10684,90352,+962 251 123 3022,Country Code: 962 National Number: 2511233022,+9622511233022
10685,90353,+86 973 264 9399,Country Code: 86 National Number: 9732649399,+869732649399
10686,90354,+54 792 315 4819,Country Code: 54 National Number: 7923154819,+547923154819
10687,90355,+57 591 837 9134,Country Code: 57 National Number: 5918379134,+575918379134
10688,90356,+57 918 246 7830,Country Code: 57 National Number: 9182467830,+579182467830
10689,90357,+86 275 985 9265,Country Code: 86 National Number: 2759859265,+862759859265
10690,90358,+380 515 986 9794,Country Code: 380 National Number: 5159869794,+3805159869794
10691,90359,+212 129 267 9368,Country Code: 212 National Number: 1292679368,+2121292679368
10692,90360,+30 758 684 6987,Country Code: 30 National Number: 7586846987,+307586846987
10693,90361,+7 345 484 3879,Country Code: 7 National Number: 3454843879,+73454843879
10694,90362,+7 567 402 2038,Country Code: 7 National Number: 5674022038,+75674022038
10695,90363,+7 528 433 1031,Country Code: 7 National Number: 5284331031,+75284331031
10696,90364,+86 630 278 8489,Country Code: 86 National Number: 6302788489,+866302788489
10697,90365,+52 723 754 7876,Country Code: 52 National Number: 7237547876,+527237547876
10698,90366,+55 128 972 1320,Country Code: 55 National Number: 1289721320,+551289721320
10699,90367,+48 249 853 3884,Country Code: 48 National Number: 2498533884,+482498533884
10700,90368,+374 579 503 0831,Country Code: 374 National Number: 5795030831,+3745795030831
10701,90369,+380 417 118 9631,Country Code: 380 National Number: 4171189631,+3804171189631
10702,90370,+44 478 144 9507,Country Code: 44 National Number: 4781449507,+444781449507
10703,90371,+353 669 771 6664,Country Code: 353 National Number: 6697716664,+3536697716664
10704,90372,+86 414 963 5363,Country Code: 86 National Number: 4149635363,+864149635363
10705,90373,+256 706 268 6752,Country Code: 256 National Number: 7062686752,+2567062686752
10706,90374,+507 770 537 8454,Country Code: 507 National Number: 7705378454,+5077705378454
10707,90376,+351 777 949 6188,Country Code: 351 National Number: 7779496188,+3517779496188
10708,90377,+62 547 738 7611,Country Code: 62 National Number: 5477387611,+625477387611
10709,90378,+46 765 354 0960,Country Code: 46 National Number: 7653540960,+467653540960
10710,90379,+92 589 197 2550,Country Code: 92 National Number: 5891972550,+925891972550
10711,90380,+268 235 764 8145,Country Code: 268 National Number: 2357648145,+2682357648145
10712,90381,+46 619 674 7273,Country Code: 46 National Number: 6196747273,+466196747273
10713,90383,+261 813 126 7136,Country Code: 261 National Number: 8131267136,+2618131267136
10714,90384,+98 843 317 4866,Country Code: 98 National Number: 8433174866,+988433174866
10715,90386,+86 367 501 3630,Country Code: 86 National Number: 3675013630,+863675013630
10716,90387,+261 127 938 4840,Country Code: 261 National Number: 1279384840,+2611279384840
10717,90388,+86 957 631 7587,Country Code: 86 National Number: 9576317587,+869576317587
10718,90389,+86 519 583 2139,Country Code: 86 National Number: 5195832139,+865195832139
10719,90390,+351 544 962 9687,Country Code: 351 National Number: 5449629687,+3515449629687
10720,90391,+86 221 608 7246,Country Code: 86 National Number: 2216087246,+862216087246
10721,90392,+351 662 258 0613,Country Code: 351 National Number: 6622580613,+3516622580613
10722,90393,+234 215 479 6933,Country Code: 234 National Number: 2154796933,+2342154796933
10723,90394,+86 185 234 7670,Country Code: 86 National Number: 1852347670,+861852347670
10724,90396,+62 327 624 7514,Country Code: 62 National Number: 3276247514,+623276247514
10725,90397,+351 827 572 9180,Country Code: 351 National Number: 8275729180,+3518275729180
10726,90398,+880 517 664 9519,Country Code: 880 National Number: 5176649519,+8805176649519
10727,90399,+86 194 499 8260,Country Code: 86 National Number: 1944998260,+861944998260
10728,90400,+86 830 678 2622,Country Code: 86 National Number: 8306782622,+868306782622
10729,90402,+63 284 372 9602,Country Code: 63 National Number: 2843729602,+632843729602
10730,90403,+352 568 337 8568,Country Code: 352 National Number: 5683378568,+3525683378568
10731,90404,+373 841 819 9569,Country Code: 373 National Number: 8418199569,+3738418199569
10732,90405,+62 949 714 7686,Country Code: 62 National Number: 9497147686,+629497147686
10733,90407,+55 556 920 9660,Country Code: 55 National Number: 5569209660,+555569209660
10734,90408,+963 440 283 2762,Country Code: 963 National Number: 4402832762,+9634402832762
10735,90409,+55 389 387 9141,Country Code: 55 National Number: 3893879141,+553893879141
10736,90410,+502 511 596 2670,Country Code: 502 National Number: 5115962670,+5025115962670
10737,90411,+86 840 178 9243,Country Code: 86 National Number: 8401789243,+868401789243
10738,90412,+269 381 934 5518,Country Code: 269 National Number: 3819345518,+2693819345518
10739,90413,+242 767 421 8555,Country Code: 242 National Number: 7674218555,+2427674218555
10740,90414,+380 327 481 6162,Country Code: 380 National Number: 3274816162,+3803274816162
10741,90415,+86 781 905 7917,Country Code: 86 National Number: 7819057917,+867819057917
10742,90416,+63 890 429 5157,Country Code: 63 National Number: 8904295157,+638904295157
10743,90417,+86 841 315 9402,Country Code: 86 National Number: 8413159402,+868413159402
10744,90418,+62 940 431 3243,Country Code: 62 National Number: 9404313243,+629404313243
10745,90419,+62 572 635 2134,Country Code: 62 National Number: 5726352134,+625726352134
10746,90420,+86 578 790 8063,Country Code: 86 National Number: 5787908063,+865787908063
10747,90421,+86 785 426 6851,Country Code: 86 National Number: 7854266851,+867854266851
10748,90422,+55 620 520 7909,Country Code: 55 National Number: 6205207909,+556205207909
10749,90423,+7 638 120 2572,Country Code: 7 National Number: 6381202572,+76381202572
10750,90424,+7 355 819 3444,Country Code: 7 National Number: 3558193444,+73558193444
10751,90425,+55 684 876 6242,Country Code: 55 National Number: 6848766242,+556848766242
10752,90427,+41 225 974 2994,Country Code: 41 National Number: 2259742994,+412259742994
10753,90429,+1 827 976 2698,Country Code: 1 National Number: 8279762698,+18279762698
10754,90430,+7 138 457 9230,Country Code: 7 National Number: 1384579230,+71384579230
10755,90431,+55 117 346 2851,Country Code: 55 National Number: 1173462851,+551173462851
10756,90432,+370 186 947 1530,Country Code: 370 National Number: 1869471530,+3701869471530
10757,90433,+60 257 592 4418,Country Code: 60 National Number: 2575924418,+602575924418
10758,90434,+352 529 458 5759,Country Code: 352 National Number: 5294585759,+3525294585759
10759,90435,+62 870 288 4559,Country Code: 62 National Number: 8702884559,+628702884559
10760,90436,+86 224 561 0360,Country Code: 86 National Number: 2245610360,+862245610360
10761,90437,+54 489 130 9590,Country Code: 54 National Number: 4891309590,+544891309590
10762,90438,+1 336 554 4073,Country Code: 1 National Number: 3365544073,+13365544073
10763,90439,+62 223 428 2441,Country Code: 62 National Number: 2234282441,+622234282441
10764,90440,+263 480 766 1754,Country Code: 263 National Number: 4807661754,+2634807661754
10765,90441,+591 956 538 6721,Country Code: 591 National Number: 9565386721,+5919565386721
10766,90442,+86 144 403 7517,Country Code: 86 National Number: 1444037517,+861444037517
10767,90443,+62 308 384 7436,Country Code: 62 National Number: 3083847436,+623083847436
10768,90445,+86 431 288 4645,Country Code: 86 National Number: 4312884645,+864312884645
10769,90447,+86 303 599 2330,Country Code: 86 National Number: 3035992330,+863035992330
10770,90448,+48 564 725 8877,Country Code: 48 National Number: 5647258877,+485647258877
10771,90449,+86 938 904 6880,Country Code: 86 National Number: 9389046880,+869389046880
10772,90450,+62 328 426 6088,Country Code: 62 National Number: 3284266088,+623284266088
10773,90451,+420 554 648 5041,Country Code: 420 National Number: 5546485041,+4205546485041
10774,90452,+81 529 855 1510,Country Code: 81 National Number: 5298551510,+815298551510
10775,90453,+7 969 696 6540,Country Code: 7 National Number: 9696966540,+79696966540
10776,90454,+56 576 581 2987,Country Code: 56 National Number: 5765812987,+565765812987
10777,90455,+967 584 661 4333,Country Code: 967 National Number: 5846614333,+9675846614333
10778,90456,+1 202 868 0625,Country Code: 1 National Number: 2028680625,+12028680625
10779,90457,+380 712 900 9982,Country Code: 380 National Number: 7129009982,+3807129009982
10780,90458,+242 830 418 5437,Country Code: 242 National Number: 8304185437,+2428304185437
10781,90459,+7 922 692 5266,Country Code: 7 National Number: 9226925266,+79226925266
10782,90460,+66 757 911 8728,Country Code: 66 National Number: 7579118728,+667579118728
10783,90461,+86 932 504 5403,Country Code: 86 National Number: 9325045403,+869325045403
10784,90462,+358 721 150 2186,Country Code: 358 National Number: 7211502186,+3587211502186
10785,90463,+502 637 958 6995,Country Code: 502 National Number: 6379586995,+5026379586995
10786,90464,+62 634 108 6152,Country Code: 62 National Number: 6341086152,+626341086152
10787,90465,+86 417 224 4438,Country Code: 86 National Number: 4172244438,+864172244438
10788,90466,+84 338 418 5799,Country Code: 84 National Number: 3384185799,+843384185799
10789,90467,+385 538 588 6099,Country Code: 385 National Number: 5385886099,+3855385886099
10790,90468,+86 653 742 2283,Country Code: 86 National Number: 6537422283,+866537422283
10791,90469,+62 761 914 8227,Country Code: 62 National Number: 7619148227,+627619148227
10792,90470,+86 186 903 2052,Country Code: 86 National Number: 1869032052,+861869032052
10793,90471,+970 906 984 9485,Country Code: 970 National Number: 9069849485,+9709069849485
10794,90472,+62 700 469 1814,Country Code: 62 National Number: 7004691814,+627004691814
10795,90473,+52 664 907 1231,Country Code: 52 National Number: 6649071231,+526649071231
10796,90474,+55 117 666 3230,Country Code: 55 National Number: 1176663230,+551176663230
10797,90475,+63 320 486 4785,Country Code: 63 National Number: 3204864785,+633204864785
10798,90476,+62 780 483 8788,Country Code: 62 National Number: 7804838788,+627804838788
10799,90477,+86 953 842 2722,Country Code: 86 National Number: 9538422722,+869538422722
10800,90478,+55 168 813 6176,Country Code: 55 National Number: 1688136176,+551688136176
10801,90479,+81 171 675 1008,Country Code: 81 National Number: 1716751008,+811716751008
10802,90480,+86 596 284 9661,Country Code: 86 National Number: 5962849661,+865962849661
10803,90481,+52 879 603 7092,Country Code: 52 National Number: 8796037092,+528796037092
10804,90482,+92 855 437 0190,Country Code: 92 National Number: 8554370190,+928554370190
10805,90483,+86 657 521 2238,Country Code: 86 National Number: 6575212238,+866575212238
10806,90485,+351 364 225 1508,Country Code: 351 National Number: 3642251508,+3513642251508
10807,90486,+62 688 287 2746,Country Code: 62 National Number: 6882872746,+626882872746
10808,90487,+46 126 249 8848,Country Code: 46 National Number: 1262498848,+461262498848
10809,90488,+86 777 634 0268,Country Code: 86 National Number: 7776340268,+867776340268
10810,90489,+7 338 720 7350,Country Code: 7 National Number: 3387207350,+73387207350
10811,90490,+86 701 204 8276,Country Code: 86 National Number: 7012048276,+867012048276
10812,90491,+86 954 536 1356,Country Code: 86 National Number: 9545361356,+869545361356
10813,90492,+46 680 324 1896,Country Code: 46 National Number: 6803241896,+466803241896
10814,90493,+1 214 621 7538,Country Code: 1 National Number: 2146217538,+12146217538
10815,90494,+86 401 900 6244,Country Code: 86 National Number: 4019006244,+864019006244
10816,90495,+358 226 802 9149,Country Code: 358 National Number: 2268029149,+3582268029149
10817,90496,+30 530 116 3068,Country Code: 30 National Number: 5301163068,+305301163068
10818,90497,+86 793 235 3059,Country Code: 86 National Number: 7932353059,+867932353059
10819,90498,+7 687 829 1289,Country Code: 7 National Number: 6878291289,+76878291289
10820,90499,+1 845 562 5243,Country Code: 1 National Number: 8455625243,+18455625243
10821,90500,+62 756 253 7826,Country Code: 62 National Number: 7562537826,+627562537826
10822,90501,+7 836 420 0977,Country Code: 7 National Number: 8364200977,+78364200977
10823,90502,+256 727 529 7686,Country Code: 256 National Number: 7275297686,+2567275297686
10824,90503,+62 815 613 0411,Country Code: 62 National Number: 8156130411,+628156130411
10825,90504,+86 515 485 3743,Country Code: 86 National Number: 5154853743,+865154853743
10826,90505,+7 392 972 8692,Country Code: 7 National Number: 3929728692,+73929728692
10827,90506,+46 263 207 5890,Country Code: 46 National Number: 2632075890,+462632075890
10828,90507,+267 866 783 2174,Country Code: 267 National Number: 8667832174,+2678667832174
10829,90508,+60 246 690 0890,Country Code: 60 National Number: 2466900890,+602466900890
10830,90509,+34 532 412 4512,Country Code: 34 National Number: 5324124512,+345324124512
10831,90510,+86 735 778 7972,Country Code: 86 National Number: 7357787972,+867357787972
10832,90511,+30 861 918 8000,Country Code: 30 National Number: 8619188000,+308619188000
10833,90512,+84 710 806 8327,Country Code: 84 National Number: 7108068327,+847108068327
10834,90513,+33 617 329 9982,Country Code: 33 National Number: 6173299982,+336173299982
10835,90514,+62 314 483 3496,Country Code: 62 National Number: 3144833496,+623144833496
10836,90515,+48 830 657 2390,Country Code: 48 National Number: 8306572390,+488306572390
10837,90516,+52 272 966 5872,Country Code: 52 National Number: 2729665872,+522729665872
10838,90518,+86 418 368 0103,Country Code: 86 National Number: 4183680103,+864183680103
10839,90519,+7 857 537 1699,Country Code: 7 National Number: 8575371699,+78575371699
10840,90520,+1 202 818 2424,Country Code: 1 National Number: 2028182424,+12028182424
10841,90521,+62 391 777 7461,Country Code: 62 National Number: 3917777461,+623917777461
10842,90522,+251 696 900 3732,Country Code: 251 National Number: 6969003732,+2516969003732
10843,90523,+86 498 186 9005,Country Code: 86 National Number: 4981869005,+864981869005
10844,90524,+86 520 210 0527,Country Code: 86 National Number: 5202100527,+865202100527
10845,90525,+48 296 428 9320,Country Code: 48 National Number: 2964289320,+482964289320
10846,90527,+7 352 363 7038,Country Code: 7 National Number: 3523637038,+73523637038
10847,90528,+86 105 315 1495,Country Code: 86 National Number: 1053151495,+861053151495
10848,90529,+55 648 424 3139,Country Code: 55 National Number: 6484243139,+556484243139
10849,90530,+86 769 151 5232,Country Code: 86 National Number: 7691515232,+867691515232
10850,90531,+86 466 230 4209,Country Code: 86 National Number: 4662304209,+864662304209
10851,90532,+63 409 830 2242,Country Code: 63 National Number: 4098302242,+634098302242
10852,90533,+48 620 662 6346,Country Code: 48 National Number: 6206626346,+486206626346
10853,90534,+375 838 120 1015,Country Code: 375 National Number: 381201015,+375381201015
10854,90535,+86 996 254 2451,Country Code: 86 National Number: 9962542451,+869962542451
10855,90536,+351 547 537 0564,Country Code: 351 National Number: 5475370564,+3515475370564
10856,90537,+86 449 995 7797,Country Code: 86 National Number: 4499957797,+864499957797
10857,90538,+86 921 367 0355,Country Code: 86 National Number: 9213670355,+869213670355
10858,90539,+353 977 975 1441,Country Code: 353 National Number: 9779751441,+3539779751441
10859,90540,+86 821 149 0469,Country Code: 86 National Number: 8211490469,+868211490469
10860,90541,+351 234 627 0758,Country Code: 351 National Number: 2346270758,+3512346270758
10861,90543,+46 119 229 7237,Country Code: 46 National Number: 1192297237,+461192297237
10862,90544,+7 112 554 5677,Country Code: 7 National Number: 1125545677,+71125545677
10863,90545,+55 259 538 8362,Country Code: 55 National Number: 2595388362,+552595388362
10864,90546,+48 217 712 4662,Country Code: 48 National Number: 2177124662,+482177124662
10865,90547,+86 466 539 0138,Country Code: 86 National Number: 4665390138,+864665390138
10866,90548,+63 987 459 0837,Country Code: 63 National Number: 9874590837,+639874590837
10867,90549,+224 983 815 2851,Country Code: 224 National Number: 9838152851,+2249838152851
10868,90550,+62 821 934 8086,Country Code: 62 National Number: 8219348086,+628219348086
10869,90551,+86 684 210 1400,Country Code: 86 National Number: 6842101400,+866842101400
10870,90552,+62 879 558 7450,Country Code: 62 National Number: 8795587450,+628795587450
10871,90553,+380 587 651 7622,Country Code: 380 National Number: 5876517622,+3805876517622
10872,90554,+86 283 945 7692,Country Code: 86 National Number: 2839457692,+862839457692
10873,90555,+63 510 352 9315,Country Code: 63 National Number: 5103529315,+635103529315
10874,90556,+380 423 357 7442,Country Code: 380 National Number: 4233577442,+3804233577442
10875,90557,+55 736 755 3635,Country Code: 55 National Number: 7367553635,+557367553635
10876,90558,+86 763 183 3283,Country Code: 86 National Number: 7631833283,+867631833283
10877,90559,+230 435 328 8456,Country Code: 230 National Number: 4353288456,+2304353288456
10878,90560,+353 561 899 8684,Country Code: 353 National Number: 5618998684,+3535618998684
10879,90561,+351 871 920 3090,Country Code: 351 National Number: 8719203090,+3518719203090
10880,90562,+351 739 932 8458,Country Code: 351 National Number: 7399328458,+3517399328458
10881,90563,+1 172 556 9720,Country Code: 1 National Number: 1725569720,+11725569720
10882,90564,+86 771 421 6171,Country Code: 86 National Number: 7714216171,+867714216171
10883,90565,+51 960 635 0840,Country Code: 51 National Number: 9606350840,+519606350840
10884,90567,+86 707 672 0143,Country Code: 86 National Number: 7076720143,+867076720143
10885,90568,+46 129 944 4950,Country Code: 46 National Number: 1299444950,+461299444950
10886,90569,+33 685 466 1300,Country Code: 33 National Number: 6854661300,+336854661300
10887,90570,+62 605 166 7169,Country Code: 62 National Number: 6051667169,+626051667169
10888,90571,+351 148 746 4687,Country Code: 351 National Number: 1487464687,+3511487464687
10889,90573,+84 710 273 2043,Country Code: 84 National Number: 7102732043,+847102732043
10890,90574,+55 393 914 5423,Country Code: 55 National Number: 3939145423,+553939145423
10891,90575,+60 543 670 0534,Country Code: 60 National Number: 5436700534,+605436700534
10892,90576,+98 664 313 7482,Country Code: 98 National Number: 6643137482,+986643137482
10893,90577,+86 642 153 0647,Country Code: 86 National Number: 6421530647,+866421530647
10894,90578,+46 876 135 7628,Country Code: 46 National Number: 8761357628,+468761357628
10895,90580,+7 681 538 6126,Country Code: 7 National Number: 6815386126,+76815386126
10896,90581,+81 388 950 1460,Country Code: 81 National Number: 3889501460,+813889501460
10897,90582,+81 802 696 3186,Country Code: 81 National Number: 8026963186,+818026963186
10898,90583,+353 137 948 8741,Country Code: 353 National Number: 1379488741,+3531379488741
10899,90584,+1 968 258 1920,Country Code: 1 National Number: 9682581920,+19682581920
10900,90585,+46 525 178 3623,Country Code: 46 National Number: 5251783623,+465251783623
10901,90586,+420 501 380 0369,Country Code: 420 National Number: 5013800369,+4205013800369
10902,90587,+970 911 509 5055,Country Code: 970 National Number: 9115095055,+9709115095055
10903,90588,+244 220 668 9055,Country Code: 244 National Number: 2206689055,+2442206689055
10904,90589,+55 675 318 9416,Country Code: 55 National Number: 6753189416,+556753189416
10905,90590,+1 602 982 5636,Country Code: 1 National Number: 6029825636,+16029825636
10906,90591,+86 929 458 7311,Country Code: 86 National Number: 9294587311,+869294587311
10907,90593,+1 363 911 9746,Country Code: 1 National Number: 3639119746,+13639119746
10908,90594,+62 616 627 5730,Country Code: 62 National Number: 6166275730,+626166275730
10909,90595,+86 721 427 8890,Country Code: 86 National Number: 7214278890,+867214278890
10910,90596,+420 653 838 0263,Country Code: 420 National Number: 6538380263,+4206538380263
10911,90597,+62 561 236 6657,Country Code: 62 National Number: 5612366657,+625612366657
10912,90598,+44 981 640 1194,Country Code: 44 National Number: 9816401194,+449816401194
10913,90599,+63 253 556 5374,Country Code: 63 National Number: 2535565374,+632535565374
10914,90600,+595 670 947 1011,Country Code: 595 National Number: 6709471011,+5956709471011
10915,90601,+856 821 549 0797,Country Code: 856 National Number: 8215490797,+8568215490797
10916,90602,+48 924 903 9450,Country Code: 48 National Number: 9249039450,+489249039450
10917,90603,+252 761 236 0847,Country Code: 252 National Number: 7612360847,+2527612360847
10918,90604,+45 953 360 1871,Country Code: 45 National Number: 9533601871,+459533601871
10919,90605,+351 432 589 5322,Country Code: 351 National Number: 4325895322,+3514325895322
10920,90607,+351 450 269 2030,Country Code: 351 National Number: 4502692030,+3514502692030
10921,90608,+62 840 813 4207,Country Code: 62 National Number: 8408134207,+628408134207
10922,90609,+48 163 790 9486,Country Code: 48 National Number: 1637909486,+481637909486
10923,90611,+420 871 418 3657,Country Code: 420 National Number: 8714183657,+4208714183657
10924,90612,+504 250 169 4451,Country Code: 504 National Number: 2501694451,+5042501694451
10925,90613,+251 869 504 8935,Country Code: 251 National Number: 8695048935,+2518695048935
10926,90614,+55 556 343 3032,Country Code: 55 National Number: 5563433032,+555563433032
10927,90615,+81 879 880 0174,Country Code: 81 National Number: 8798800174,+818798800174
10928,90616,+86 655 265 7203,Country Code: 86 National Number: 6552657203,+866552657203
10929,90617,+86 984 442 6841,Country Code: 86 National Number: 9844426841,+869844426841
10930,90618,+264 302 988 9620,Country Code: 264 National Number: 3029889620,+2643029889620
10931,90619,+54 616 130 2333,Country Code: 54 National Number: 6161302333,+546161302333
10932,90620,+62 631 181 7972,Country Code: 62 National Number: 6311817972,+626311817972
10933,90621,+972 350 635 9230,Country Code: 972 National Number: 3506359230,+9723506359230
10934,90622,+86 464 296 4915,Country Code: 86 National Number: 4642964915,+864642964915
10935,90623,+62 677 270 2602,Country Code: 62 National Number: 6772702602,+626772702602
10936,90624,+86 839 841 7114,Country Code: 86 National Number: 8398417114,+868398417114
10937,90625,+255 951 194 8357,Country Code: 255 National Number: 9511948357,+2559511948357
10938,90626,+386 419 607 3932,Country Code: 386 National Number: 4196073932,+3864196073932
10939,90627,+33 762 866 7037,Country Code: 33 National Number: 7628667037,+337628667037
10940,90628,+86 654 398 0179,Country Code: 86 National Number: 6543980179,+866543980179
10941,90630,+86 979 318 4506,Country Code: 86 National Number: 9793184506,+869793184506
10942,90631,+62 437 500 3453,Country Code: 62 National Number: 4375003453,+624375003453
10943,90632,+86 266 507 3882,Country Code: 86 National Number: 2665073882,+862665073882
10944,90633,+63 335 133 7622,Country Code: 63 National Number: 3351337622,+633351337622
10945,90634,+48 230 245 7623,Country Code: 48 National Number: 2302457623,+482302457623
10946,90635,+221 629 961 2947,Country Code: 221 National Number: 6299612947,+2216299612947
